date,nav,dayChange,scheme_code
2023-01-12,82.8433,0.0263000000000062,119718
2023-01-13,83.0021,0.1587999999999993,119718
2023-01-16,82.6874,-0.314700000000002,119718
2023-01-17,82.8548,0.1674000000000006,119718
2023-01-18,83.0638,0.2090000000000031,119718
2023-01-19,82.9345,-0.1293000000000006,119718
2023-01-20,82.5214,-0.4131,119718
2023-01-23,83.2313,0.7099000000000046,119718
2023-01-24,83.0924,-0.1389000000000066,119718
2023-01-25,82.1994,-0.8930000000000007,119718
2023-01-27,81.1234,-1.0759999999999934,119718
2023-01-30,81.1737,0.0502999999999929,119718
2023-01-31,81.6747,0.5010000000000048,119718
2023-02-01,81.6448,-0.0298999999999978,119718
2023-02-02,81.825,0.1801999999999992,119718
2023-02-03,82.5975,0.7724999999999937,119718
2023-02-06,82.5557,-0.0417999999999949,119718
2023-02-07,82.3463,-0.2094000000000022,119718
2023-02-08,82.9481,0.6017999999999972,119718
2023-02-09,82.7516,-0.1965000000000003,119718
2023-02-10,82.7359,-0.0156999999999953,119718
2023-02-13,82.1613,-0.5746000000000038,119718
2023-02-14,82.6985,0.5371999999999986,119718
2023-02-15,83.0164,0.3179000000000087,119718
2023-02-16,83.126,0.1096000000000003,119718
2023-02-17,82.7863,-0.3397000000000076,119718
2023-02-20,82.4098,-0.3764999999999929,119718
2023-02-21,82.2306,-0.1792000000000086,119718
2023-02-22,81.2538,-0.9767999999999972,119718
2023-02-23,81.3462,0.0923999999999978,119718
2023-02-24,81.3648,0.0186000000000063,119718
2023-02-27,80.9762,-0.3885999999999967,119718
2023-02-28,80.4862,-0.4900000000000091,119718
2023-03-01,81.0958,0.6096000000000004,119718
2023-03-02,80.6825,-0.4132999999999924,119718
2023-03-03,81.6331,0.9505999999999944,119718
2023-03-06,82.1407,0.5075999999999965,119718
2023-03-08,82.2923,0.1516000000000019,119718
2023-03-09,81.7329,-0.5593999999999966,119718
2023-03-10,81.0371,-0.6958000000000055,119718
2023-03-13,80.0284,-1.0086999999999904,119718
2023-03-14,79.7332,-0.2952000000000083,119718
2023-03-15,79.6987,-0.0344999999999942,119718
2023-03-16,79.6754,-0.023300000000006,119718
2023-03-17,80.1319,0.4565000000000054,119718
2023-03-20,79.7575,-0.3744000000000085,119718
2023-03-21,80.1778,0.4203000000000116,119718
2023-03-22,80.5031,0.3252999999999986,119718
2023-03-23,80.1343,-0.3688000000000073,119718
2023-03-24,79.5278,-0.6064999999999969,119718
2023-03-27,79.4379,-0.0899,119718
2023-03-28,79.065,-0.3729000000000013,119718
2023-03-29,79.7579,0.6929000000000087,119718
2023-03-31,80.7963,1.0383999999999958,119718
2023-04-03,81.0551,0.2587999999999937,119718
2023-04-05,81.3498,0.2947000000000059,119718
2023-04-06,81.4476,0.0977999999999923,119718
2023-04-10,81.8248,0.377200000000002,119718
2023-04-11,82.4185,0.5936999999999983,119718
2023-04-12,82.7434,0.3248999999999995,119718
2023-04-13,82.7417,-0.0016999999999995,119718
2023-04-17,82.8229,0.0812000000000097,119718
2023-04-18,82.879,0.0561000000000007,119718
2023-04-19,82.7132,-0.1658000000000044,119718
2023-04-20,82.9018,0.1885999999999938,119718
2023-04-21,82.8397,-0.0621000000000009,119718
2023-04-24,83.1346,0.2949000000000126,119718
2023-04-25,83.38,0.2453999999999894,119718
2023-04-26,83.4301,0.0501000000000004,119718
2023-04-27,84.0279,0.5978000000000065,119718
2023-04-28,84.7842,0.756299999999996,119718
2023-05-02,85.2086,0.4244000000000056,119718
2023-05-03,84.9852,-0.223399999999998,119718
2023-05-04,85.5072,0.5219999999999914,119718
2023-05-05,84.958,-0.549199999999999,119718
2023-05-08,85.8105,0.8525000000000063,119718
2023-05-09,85.7222,-0.0883000000000038,119718
2023-05-10,85.8995,0.1773000000000024,119718
2023-05-11,85.9806,0.0810999999999921,119718
2023-05-12,86.0164,0.0358000000000089,119718
2023-05-15,86.6025,0.5861000000000018,119718
2023-05-16,86.4714,-0.1311000000000035,119718
2023-05-17,86.2481,-0.2233000000000089,119718
2023-05-18,85.9761,-0.2719999999999913,119718
2023-05-19,86.2697,0.2935999999999978,119718
2023-05-22,86.5705,0.3007999999999953,119718
2023-05-23,86.8513,0.2807999999999993,119718
2023-05-24,86.6456,-0.2056999999999931,119718
2023-05-25,86.8816,0.2360000000000042,119718
2023-05-26,87.4765,0.5948999999999955,119718
2023-05-29,87.8955,0.4189999999999969,119718
2023-05-30,88.1347,0.2391999999999967,119718
2023-05-31,88.1452,0.0105000000000075,119718
2023-06-01,87.8323,-0.312899999999999,119718
2023-06-02,88.2931,0.4607999999999919,119718
2023-06-05,88.5984,0.3053000000000025,119718
2023-06-06,88.693,0.0945999999999998,119718
2023-06-07,89.4229,0.7299000000000007,119718
2023-06-08,88.7225,-0.7004000000000019,119718
2023-06-09,88.2479,-0.4745999999999952,119718
2023-06-12,88.6227,0.3747999999999933,119718
2023-06-13,89.1225,0.4998000000000075,119718
2023-06-14,89.0594,-0.0631000000000057,119718
2023-06-15,88.8611,-0.1983000000000032,119718
2023-06-16,89.6707,0.8096000000000032,119718
2023-06-19,89.4852,-0.1854999999999904,119718
2023-06-20,89.6463,0.1610999999999904,119718
2023-06-21,89.612,-0.0343000000000017,119718
2023-06-22,89.153,-0.458999999999989,119718
2023-06-23,88.5641,-0.5889000000000095,119718
2023-06-26,88.7419,0.1778000000000048,119718
2023-06-27,89.1735,0.4316000000000031,119718
2023-06-28,89.6105,0.4369999999999976,119718
2023-06-30,90.4535,0.8430000000000035,119718
2023-07-03,90.942,0.4884999999999877,119718
2023-07-04,91.0534,0.1114000000000032,119718
2023-07-05,91.5133,0.4599000000000046,119718
2023-07-06,91.965,0.4517000000000024,119718
2023-07-07,91.3812,-0.5837999999999965,119718
2023-07-10,91.2344,-0.1468000000000131,119718
2023-07-11,91.6794,0.4450000000000074,119718
2023-07-12,91.6863,0.0069000000000016,119718
2023-07-13,91.7415,0.0551999999999992,119718
2023-07-14,92.3406,0.5990999999999929,119718
2023-07-17,92.8576,0.5170000000000101,119718
2023-07-18,92.8317,-0.0259000000000071,119718
2023-07-19,93.3346,0.5028999999999968,119718
2023-07-20,93.9005,0.5658999999999992,119718
2023-07-21,93.2643,-0.6361999999999881,119718
2023-07-24,92.7854,-0.4789000000000101,119718
2023-07-25,92.8426,0.0572000000000088,119718
2023-07-26,93.3621,0.5194999999999936,119718
2023-07-27,93.1176,-0.2445000000000021,119718
2023-07-28,93.5629,0.4453000000000031,119718
2023-07-31,93.9121,0.3491999999999962,119718
2023-08-01,93.8604,-0.0516999999999967,119718
2023-08-02,92.9609,-0.8995000000000033,119718
2023-08-03,92.464,-0.4968999999999965,119718
2023-08-04,92.9172,0.4531999999999954,119718
2023-08-07,93.294,0.3768000000000029,119718
2023-08-08,93.0957,-0.1983000000000032,119718
2023-08-09,93.3859,0.2902000000000129,119718
2023-08-10,93.0096,-0.3763000000000005,119718
2023-08-11,92.4746,-0.5350000000000108,119718
2023-08-14,92.2745,-0.2000999999999919,119718
2023-08-16,92.3289,0.0544000000000011,119718
2023-08-17,92.0667,-0.2622000000000071,119718
2023-08-18,91.6198,-0.4468999999999994,119718
2023-08-21,92.1681,0.5482999999999976,119718
2023-08-22,92.5699,0.4018000000000086,119718
2023-08-23,93.0321,0.4621999999999957,119718
2023-08-24,92.7392,-0.292900000000003,119718
2023-08-25,92.2184,-0.5207999999999942,119718
2023-08-28,92.626,0.4076000000000022,119718
2023-08-29,92.8874,0.2613999999999947,119718
2023-08-30,93.1414,0.2540000000000049,119718
2023-08-31,93.1392,-0.0022000000000019,119718
2023-09-01,93.8017,0.6624999999999943,119718
2023-09-04,94.2744,0.4727000000000032,119718
2023-09-05,94.6658,0.3914000000000044,119718
2023-09-06,94.8494,0.1835999999999984,119718
2023-09-07,95.4147,0.5652999999999935,119718
2023-09-08,95.8908,0.4761000000000024,119718
2023-09-11,96.5039,0.6131000000000029,119718
2023-09-12,95.7747,-0.7292000000000058,119718
2023-09-13,95.9634,0.1886999999999972,119718
2023-09-14,96.392,0.428600000000003,119718
2023-09-15,96.4993,0.1073000000000092,119718
2023-09-18,96.3246,-0.1747000000000014,119718
2023-09-20,95.4911,-0.8335000000000008,119718
2023-09-21,94.6322,-0.8589000000000055,119718
2023-09-22,94.3085,-0.3237000000000023,119718
2023-09-25,94.4301,0.1216000000000008,119718
2023-09-26,94.2882,-0.1418999999999926,119718
2023-09-27,94.5982,0.3100000000000023,119718
2023-09-29,94.3973,-0.2009000000000043,119718
2023-10-03,94.2215,-0.1757999999999953,119718
2023-10-04,93.6173,-0.6042000000000058,119718
2023-10-05,93.9477,0.3303999999999973,119718
2023-10-06,94.4599,0.5122000000000071,119718
2023-10-09,93.6092,-0.8507000000000033,119718
2023-10-10,94.454,0.8447999999999922,119718
2023-10-11,95.0804,0.6264000000000038,119718
2023-10-12,95.105,0.0246000000000066,119718
2023-10-13,94.9974,-0.107600000000005,119718
2023-10-16,95.1397,0.1423000000000058,119718
2023-10-17,95.5455,0.4057999999999993,119718
2023-10-18,95.0249,-0.5206000000000017,119718
2023-10-19,94.7329,-0.2920000000000016,119718
2023-10-20,94.1742,-0.5587000000000018,119718
2023-10-23,92.8482,-1.3259999999999934,119718
2023-10-25,91.9225,-0.9257000000000062,119718
2023-10-26,90.9033,-1.019199999999998,119718
2023-10-27,91.8432,0.9398999999999944,119718
2023-10-30,92.2193,0.3761000000000081,119718
2023-10-31,91.8781,-0.3412000000000006,119718
2023-11-01,91.7084,-0.1697000000000059,119718
2023-11-02,92.4175,0.7091000000000065,119718
2023-11-03,92.9273,0.5097999999999985,119718
2023-11-06,93.7066,0.7792999999999921,119718
2023-11-07,93.7107,0.0041000000000082,119718
2023-11-08,93.8798,0.1691000000000002,119718
2023-11-09,93.6375,-0.2423000000000001,119718
2023-11-10,93.7963,0.1587999999999993,119718
2023-11-13,93.8604,0.0640999999999962,119718
2023-11-15,95.0008,1.1403999999999996,119718
2023-11-16,95.5037,0.5028999999999968,119718
2023-11-17,95.4392,-0.0644999999999953,119718
2023-11-20,95.3953,-0.0438999999999936,119718
2023-11-21,95.7859,0.390599999999992,119718
2023-11-22,95.936,0.150100000000009,119718
2023-11-23,95.817,-0.1190000000000139,119718
2023-11-24,95.7815,-0.0354999999999989,119718
2023-11-28,96.233,0.45150000000001,119718
2023-11-29,97.0482,0.8151999999999902,119718
2023-11-30,97.553,0.504800000000003,119718
2023-12-01,98.1204,0.5674000000000063,119718
2023-12-04,99.8023,1.6818999999999988,119718
2023-12-05,100.2529,0.4505999999999943,119718
2023-12-06,100.3417,0.0888000000000062,119718
2023-12-07,100.5477,0.206000000000003,119718
2023-12-08,100.4442,-0.103500000000011,119718
2023-12-11,100.6993,0.2550999999999987,119718
2023-12-12,100.3914,-0.3078999999999894,119718
2023-12-13,100.801,0.4095999999999975,119718
2023-12-14,101.6388,0.8378000000000014,119718
2023-12-15,102.0216,0.3828000000000031,119718
