category,scheme_name,benchmark,return_1y_direct,return_3y_direct,return_5y_direct
Mid Cap,TRUSTMF Mid Cap Fund,Nifty Midcap 150 TRI,,,
Mid Cap,Tata Mid Cap Fund,Nifty Midcap 150 TRI,10.895279,17.704866,16.464643
Mid Cap,Taurus Mid Cap Fund,Nifty Midcap 150 TRI,7.7201257,12.391788,12.961778
Mid Cap,UTI Mid Cap Fund,Nifty Midcap 150 TRI,7.2158003,14.118532,13.441751
Mid Cap,Union Midcap Fund,BSE Midcap 150 TRI,13.59779,19.2382,17.037884
Mid Cap,WhiteOak Capital Mid Cap Fund,BSE Midcap 150 TRI,17.980408,24.159874,
Small Cap,Abakkus Small Cap Fund,Nifty Smallcap 250 TRI,,,
Small Cap,Aditya Birla Sun Life Small cap Fund,BSE 250 Smallcap TRI,17.521166,17.111977,14.166386
Small Cap,Axis Small Cap Fund,Nifty Smallcap 250 TRI,10.884354,17.147257,17.294449
Small Cap,Bajaj Finserv Small Cap Fund,BSE 250 Smallcap TRI,16.084568,,
Small Cap,Bandhan Small Cap Fund,BSE 250 Smallcap TRI,12.643838,27.872025,20.195587
Small Cap,Bank of India Small Cap Fund,Nifty Smallcap 250 TRI,23.445345,23.240255,20.429836
Small Cap,Baroda BNP Paribas Small Cap Fund,Nifty Smallcap 250 TRI,10.231717,,
Small Cap,Canara Robeco Small Cap Fund,Nifty Smallcap 250 TRI,8.354846,14.967582,16.712805
Small Cap,DSP Small Cap Fund,BSE 250 Smallcap TRI,16.243563,18.450457,18.096645
Small Cap,Edelweiss Small Cap Fund,Nifty Smallcap 250 TRI,11.481904,18.08404,18.50603
Small Cap,Franklin India Small Cap Fund,Nifty Smallcap 250 TRI,6.5745473,15.660772,17.456642
Small Cap,Groww Small Cap Fund,Nifty Smallcap 250 TRI,,,
Small Cap,HDFC Small Cap Fund,BSE 250 Smallcap TRI,3.0218012,14.024469,16.413748
Small Cap,HSBC Small Cap Fund,Nifty Smallcap 250 TRI,10.688392,16.494198,18.190762
Small Cap,Helios Small Cap Fund,Nifty Smallcap 250 TRI,,,
Small Cap,ICICI Prudential Smallcap Fund,Nifty Smallcap 250 TRI,5.685176,13.332686,15.338467
Small Cap,ITI Small Cap Fund,Nifty Smallcap 250 TRI,18.94405,26.22328,18.597342
Small Cap,Invesco India Smallcap Fund,BSE 250 Smallcap TRI,17.882095,24.683908,20.924128
Small Cap,JM Small Cap Fund,Nifty Smallcap 250 TRI,17.518118,,
