category,scheme_name,benchmark,return_1y_direct,return_3y_direct,return_5y_direct,scheme_code,matched_name
Flexi Cap,Taurus Flexi Cap Fund,BSE 500 TRI,9.05007,13.368748,11.142377,118883,Taurus Flexi Cap Fund - Direct Plan - Growth
Flexi Cap,The Wealth Company Flexi Cap Fund,Nifty 500 TRI,,,,154269,The Wealth Company Small Cap Fund- Direct-Growth
Flexi Cap,UTI Flexi Cap Fund,Nifty 500 TRI,3.6767178,10.066211,6.9495597,151379,ITI Flexi Cap Fund- Direct Plan- Growth
Flexi Cap,Unifi Flexi Cap Fund,Nifty 500 TRI,6.2620397,,,153543,Unifi Flexi Cap Fund - Direct Growth
Flexi Cap,Union Flexi Cap Fund,BSE 500 TRI,6.580117,13.23348,12.18886,153543,Unifi Flexi Cap Fund - Direct Growth
Flexi Cap,WhiteOak Capital Flexi Cap Fund,BSE 500 TRI,8.600347,17.017591,,150346,WhiteOak Capital Flexi Cap Fund Direct Plan-Growth
Multi Cap,Aditya Birla Sun Life Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,11.397954,15.868298,14.552405,148921,Aditya Birla Sun Life Multi-Cap Fund-Direct Growth
Multi Cap,Axis Multicap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,11.980572,21.627905,,149383,Axis Multicap Fund - Direct Growth
Multi Cap,Bajaj Finserv Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,12.523448,,,151895,Bajaj Finserv Flexi Cap Fund-Direct Plan-Growth
Multi Cap,Bandhan Multicap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,7.224271,15.374893,,153722,Bandhan Multi-Factor Fund - Direct Plan - Growth
Multi Cap,Bank of India Multicap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,16.12542,20.067776,,151443,Bank of India Multi Cap Fund Direct Plan - Growth
Multi Cap,Baroda BNP Paribas Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,7.7219577,16.400328,14.885595,150387,Baroda BNP Paribas Flexi Cap Fund - Direct Plan - Growth Option
Multi Cap,Canara Robeco Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,7.152497,16.596006,,151824,Canara Robeco Multi Cap Fund - Direct Plan - Growth Option
Multi Cap,DSP Multicap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,4.5653586,,,152310,DSP Multicap Fund - Direct - Growth
Multi Cap,Edelweiss Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,10.900918,,,152094,Edelweiss Multi Cap Fund - Direct Plan - Growth
Multi Cap,Franklin India Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,10.592008,,,152739,Franklin India Multi Cap Fund - Direct - Growth
Multi Cap,Groww Multicap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,19.507343,,,153034,Groww Multicap Fund - Direct - Growth
Multi Cap,HDFC Multicap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,4.2367215,14.57123,,152310,DSP Multicap Fund - Direct - Growth
Multi Cap,HSBC Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,10.523777,20.605629,,151290,HSBC Multi Cap Fund - Direct - Growth
Multi Cap,ICICI Prudential Multicap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,12.301221,18.394764,16.484617,120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth
Multi Cap,ITI Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,13.564062,19.02755,14.57253,150659,LIC MF Multi Cap Fund-Direct Plan-Growth
Multi Cap,Invesco India Multicap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,4.1688313,15.486205,13.180021,120413,Invesco India Multicap Fund - Direct Plan - Growth Option
Multi Cap,Kotak Multicap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,11.136525,19.47004,,149185,Kotak Multicap Fund-Direct Plan-Growth
Multi Cap,LIC MF Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,11.813539,19.982313,,150659,LIC MF Multi Cap Fund-Direct Plan-Growth
Multi Cap,Mahindra Manulife Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,13.090593,19.136406,17.169998,141226,Mahindra Manulife Multi Cap Fund - Direct Plan -Growth
Multi Cap,Mirae Asset Multicap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,7.767124,,,151810,Mirae Asset Multicap Fund - Direct Plan - Growth
Multi Cap,Motilal Oswal Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,7.859679,,,152651,Motilal Oswal Multi Cap Fund-Direct Plan Growth
Multi Cap,Nippon India Multicap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,4.460997,16.264677,19.598694,152739,Franklin India Multi Cap Fund - Direct - Growth
Multi Cap,PGIM India Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,11.616161,,,152815,PGIM India Multi Cap Fund - Direct Plan - Growth Option
Multi Cap,Quant Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,10.411993,12.26698,12.69153,120823,quant Multi Cap Fund-GROWTH OPTION-Direct Plan
Multi Cap,SBI Multicap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,3.0806398,15.217423,,152310,DSP Multicap Fund - Direct - Growth
Multi Cap,Samco Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,-5.735141,,,152847,Samco Multi Cap Fund - Direct Plan - Growth
Multi Cap,Sundaram Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,6.1155477,15.247837,13.642866,119581,Sundaram Mid Cap Fund Direct Plan - Growth
